config,shape,diameter,depth,pair,js2d,js2d_null,js2d_null_p95,corr_obs,corr_true,cov_obs,cov_true,n_obs,n_true
symsq_d1.0_c+0.0,square,1.0,depthavg,vertical heat flux w'T',0.5354803603407692,0.6033336664349643,0.7404785611570531,0.1159452579703956,0.06479372759582794,4.6885522973357625e-06,2.4981824636187543e-06,864,124416
symsq_d1.0_c+0.0,square,1.0,depthavg,T-S,0.6321226411287265,0.6353396510426328,0.7669596237287404,0.21117347641555437,0.2826616991053582,0.010755192991980252,0.012612710404912549,864,124416
symdia_d0.3_c+0.0,diamond,0.3,25m,velocity U-V,0.5356220398309244,0.647541016468379,0.7097735052012428,0.4614275938839758,0.4607916029692293,0.03064042096840285,0.030617700699685873,864,5184
symdia_d0.3_c+0.0,diamond,0.3,25m,Reynolds stress u'v',0.5351657244356517,0.6527699273002379,0.703284181815026,0.46147929874086097,0.4608010287338074,0.03063978104602102,0.030617569274756187,864,5184
symdia_d0.3_c+0.0,diamond,0.3,25m,zonal heat flux u'T',0.4783217349162003,0.620305597192748,0.6652910094329996,0.3555279269337995,0.36658498836251635,0.03255532237482523,0.033442898819952036,864,5184
symdia_d0.3_c+0.0,diamond,0.3,25m,merid. heat flux v'T',0.5449077148616446,0.6473514849583756,0.6972172035938696,-0.12629147716225722,-0.12434135887466496,-0.014970486748262343,-0.014710773765918204,864,5184
symdia_d0.3_c+0.0,diamond,0.3,25m,vertical heat flux w'T',0.5077807389081831,0.6725394444413328,0.7056827991604172,0.06689714524949983,0.008736850173810972,1.6887501004879285e-06,2.3508165596931934e-07,864,5184
symdia_d0.3_c+0.0,diamond,0.3,25m,T-S,0.4233769183471175,0.536684700612376,0.591366046710874,0.052958654023601184,0.05697378645934695,0.0026452644617464068,0.0028376727719299946,864,5184
symdia_d0.3_c+0.0,diamond,0.3,50m,velocity U-V,0.5598170606155949,0.6806665523906558,0.724287854264906,0.3855443841013802,0.38632287163460544,0.02193515820598224,0.021792611659781986,864,5184
symdia_d0.3_c+0.0,diamond,0.3,50m,Reynolds stress u'v',0.5623887521585242,0.6673554027303628,0.7180310440898277,0.38581420646852704,0.3863582679781588,0.0219454305666438,0.021793795024835923,864,5184
symdia_d0.3_c+0.0,diamond,0.3,50m,zonal heat flux u'T',0.5215304194277381,0.6043825338990915,0.6660235904313705,0.42989942641485923,0.4585803263790166,0.03514532319075458,0.03694671328104729,864,5184
symdia_d0.3_c+0.0,diamond,0.3,50m,merid. heat flux v'T',0.5540688909949454,0.6569135068639698,0.7128564115896829,-0.04647113978434478,-0.04207835680450538,-0.00520649976553432,-0.004716989044965609,864,5184
symdia_d0.3_c+0.0,diamond,0.3,50m,vertical heat flux w'T',0.5317462867142768,0.7009145769997271,0.7276563192149085,0.07108767295384101,0.014481818802825331,2.9659780229291716e-06,6.196429785269179e-07,864,5184
symdia_d0.3_c+0.0,diamond,0.3,50m,T-S,0.44791099595128026,0.563979983454434,0.6359366089154419,0.2966406417588308,0.30371888533227187,0.01290167379687621,0.013189331544848922,864,5184
symdia_d0.3_c+0.0,diamond,0.3,75m,velocity U-V,0.5976227314938484,0.7013990615485344,0.7486385411253689,0.25176798517228555,0.2641554867868983,0.012451010764946016,0.012930498223412072,864,5184
symdia_d0.3_c+0.0,diamond,0.3,75m,Reynolds stress u'v',0.5837002811368192,0.710878640814355,0.7529369713205425,0.25276546134330363,0.2643087832419274,0.012482299978794307,0.012934399062689467,864,5184
symdia_d0.3_c+0.0,diamond,0.3,75m,zonal heat flux u'T',0.5138998968263414,0.6127775181850867,0.6833345576758599,-0.07635467594497317,-0.07061509873491585,-0.00930447683303834,-0.008522910457694712,864,5184
symdia_d0.3_c+0.0,diamond,0.3,75m,merid. heat flux v'T',0.5620322135685516,0.6988808970164925,0.7392700811712465,-0.040395608318739194,-0.04239863380697091,-0.005101066608832884,-0.005332411209213873,864,5184
symdia_d0.3_c+0.0,diamond,0.3,75m,vertical heat flux w'T',0.5550073746569506,0.7229536889556397,0.7455635228237434,-0.02916400213118806,-0.028870878151537462,-1.9450794341829358e-06,-1.970392461316583e-06,864,5184
